system,n_runs,selection_accuracy,acc_ci_low,acc_ci_high,exact_match_rate,abstention_recall,abst_ci_low,abst_ci_high,unsafe_selection_rate,assumption_coverage,unsupported_inference_rate,numeric_fidelity,provenance_rejections,verification_pass_rate,mean_tool_calls,mean_llm_calls,mean_latency_ms,total_input_tokens,total_output_tokens,revision_rate,n_errors
A_direct,144,0.5625,0.4808944747721227,0.6408575705849976,0.5625,0.0,0.0,0.12455502974186705,0.1875,0.6267857142857144,0.0,0.9914529914529915,0,0.0,2.1666666666666665,1.0,604.3548611111111,172800,57600,0.0,0
B_tools,144,0.5,0.4194027960425476,0.5805972039574524,0.5,0.0,0.0,0.12455502974186705,0.1875,0.6925595238095238,0.0,0.7204415954415954,0,0.875,2.7083333333333335,3.7083333333333335,569.1194444444445,640800,213600,0.0,0
C_protocol,144,0.6041666666666666,0.5225848540044727,0.6803352215907278,0.6041666666666666,0.0,0.0,0.12455502974186705,0.1875,0.7587797619047619,0.0,0.8496503496503496,0,0.875,3.2291666666666665,4.0,304.5111111111111,691200,230400,0.0625,0
