system,n_runs,coverage,selective_accuracy,overall_accuracy,accuracy_on_supported,abstention_recall,n_abstention_cases,unsafe_selection_rate,over_abstention_rate
A_direct,96,0.9479166666666666,0.7362637362637363,0.75,0.8589743589743589,0.2777777777777778,18,0.13541666666666666,0.0
B_tools,96,0.9791666666666666,0.6808510638297872,0.6666666666666666,0.8205128205128205,0.0,18,0.1875,0.02564102564102564
C_protocol,96,0.8541666666666666,0.8658536585365854,0.8854166666666666,0.9102564102564102,0.7777777777777778,18,0.041666666666666664,0.0
