system,n_runs,selection_accuracy,acc_ci_low,acc_ci_high,exact_match_rate,abstention_recall,abst_ci_low,abst_ci_high,unsafe_selection_rate,assumption_coverage,unsupported_inference_rate,numeric_fidelity,provenance_rejections,verification_pass_rate,mean_tool_calls,mean_llm_calls,mean_latency_ms,total_input_tokens,total_output_tokens,revision_rate,n_errors
A_direct,96,0.75,0.654901889760503,0.8258603163106593,0.6979166666666666,0.2777777777777778,0.12499753379553993,0.5087265656029746,0.13541666666666666,0.6197420634920635,0.0,0.6998802921216714,15,0.029411764705882353,2.1666666666666665,1.0,24285.422916666666,260620,156648,0.0,43
B_tools,96,0.6666666666666666,0.5675650615328802,0.7529430758478948,0.625,0.0,0.0,0.17587922364665765,0.1875,0.7732886904761905,0.0,0.8137792397660819,0,0.875,3.5729166666666665,3.3125,18620.094791666666,870903,101798,0.0,0
C_protocol,96,0.8854166666666666,0.8063737876272061,0.9348012800658358,0.8020833333333334,0.7777777777777778,0.5478541568378739,0.9099907189139831,0.041666666666666664,0.9460565476190476,0.02922641594516594,0.6948051731334491,8,0.7340425531914894,2.8020833333333335,4.333333333333333,126069.35104166665,1128446,897282,0.0625,8
